match,score,home_xg_raw,away_xg_raw,home_xg_sos,away_xg_sos,totals_pick,totals_pnl,spreads_pick,spreads_pnl
Netherlands vs Lithuania,4-0,2.13,0.34,1.35,0.51,Over 1.5 (@2.143),1.1429999999999998,away 1.5 (@2.456),-1.0
Ba Lan vs Netherlands,1-1,0.61,2.32,0.66,1.45,Over 2.0 (@2.203),-1.0,home 1.5 (@2.346),1.346
Netherlands vs Phần Lan,4-0,2.18,0.65,1.38,0.81,Over 2.0 (@2.368),1.3679999999999999,away 1.5 (@2.132),-1.0
Malta vs Netherlands,0-4,0.16,2.11,0.2,1.28,Over 1.5 (@2.48),1.48,away -2.0 (@2.154),1.154
Lithuania vs Netherlands,2-3,0.67,2.3,1.01,1.44,Over 2.0 (@2.143),1.1429999999999998,away -1.5 (@1.972),0.972
Netherlands vs Ba Lan,1-1,2.29,1.04,1.43,1.3,Over 2.5 (@2.368),-1.0,away 1.5 (@1.867),0.867
Netherlands vs Malta,8-0,2.02,0.36,1.21,0.46,Over 1.5 (@2.283),1.283,home -1.5 (@1.944),0.944
Phần Lan vs Netherlands,0-2,0.76,2.21,0.98,1.39,Over 2.0 (@2.143),-1.0,away -1.5 (@2.154),1.154
Canada vs Tunisia,0-0,1.1,0.93,1.0,0.8,,0.0,home 0.0 (@1.935),-1.0
Mali vs Tunisia,1-1,1.12,0.85,1.37,0.72,,0.0,away 0.5 (@1.883),0.883
Tanzania vs Tunisia,1-1,0.73,0.86,0.73,0.77,,0.0,away 0 (@1.972),-1.0
Nigeria vs Tunisia,3-2,0.99,0.85,0.98,0.72,,0.0,home 0.0 (@1.963),0.9630000000000001
Japan vs Iceland,1-0,1.3,0.79,1.14,0.94,,0.0,home -0.5 (@2.09),1.0899999999999999
England vs Japan,0-1,2.36,1.35,1.89,1.18,Over 2.75 (@2.158),-1.0,home -1.0 (@2.09),-1.0
Scotland vs Japan,0-1,1.78,1.18,0.98,1.04,Over 2.0 (@2.158),-1.0,away 0.5 (@2.211),1.2109999999999999
Japan vs Bolivia,3-0,1.22,0.36,1.15,0.49,,0.0,home -1.0 (@2.258),1.258
Japan vs Ghana,2-0,1.3,0.42,1.19,0.59,,0.0,home -1.0 (@2.234),1.234
Japan vs Brazil,3-2,1.15,2.36,0.97,2.05,Over 2.75 (@2.5),1.5,away -1.5 (@2.456),1.456
Japan vs Paraguay,2-2,1.26,0.8,1.09,0.72,,0.0,away 0.5 (@2.059),1.0590000000000002
United States vs Japan,2-0,1.37,1.29,1.36,1.13,Over 1.5 (@1.898),0.8979999999999999,home 0.0 (@2.019),1.0190000000000001
Mexico vs Japan,0-0,1.47,1.32,1.25,1.16,Over 2.0 (@2.442),-1.0,home 0.0 (@1.953),-1.0
Croatia vs Belgium,0-2,2.19,2.73,1.26,1.87,Over 4.0 (@2.218),-1.0,away -0.5 (@2.059),1.0590000000000002
Mexico vs Belgium,1-1,1.43,2.8,1.22,1.95,Over 3.0 (@1.821),-1.0,away -1.5 (@2.246),1.246
United States vs Belgium,2-5,1.44,2.57,1.43,1.72,Over 3.0 (@2.086),1.0859999999999999,home 1.0 (@2.246),-1.0
BI vs Liechtenstein,7-0,2.87,0.0,2.87,0.0,Over 3.0 (@2.006),1.0059999999999998,home -1.5 (@1.935),0.935
Kazakhstan vs BI,1-1,0.23,3.07,0.35,3.07,Over 2.5 (@2.423),-1.0,,0.0
Wales vs Belgium,2-4,1.45,2.48,1.17,1.68,Over 3.0 (@2.203),1.2029999999999998,away -1.0 (@2.069),1.069
Belgium vs Bắc Macedonia,0-0,2.47,1.08,1.8,1.4,Over 2.75 (@2.423),-1.0,home -1.5 (@2.222),-1.0
Belgium vs Kazakhstan,6-0,2.43,0.34,1.78,0.34,Over 2.0 (@2.48),1.48,home -2.0 (@2.01),1.0099999999999998
Liechtenstein vs Belgium,0-6,0.04,2.48,0.04,1.8,Over 1.5 (@2.072),1.072,,0.0
Belgium vs Wales,4-3,2.51,1.1,1.7,0.78,Over 2.75 (@2.316),1.3159999999999998,home -1.5 (@2.199),-1.0
Bắc Macedonia vs Belgium,1-1,0.46,2.59,0.48,1.86,Over 2.25 (@2.423),-1.0,away -2.0 (@1.972),0.972
Egypt vs Zimbabwe,2-1,0.69,0.88,0.81,0.88,,0.0,home 0.5 (@1.818),0.8180000000000001
Egypt vs South Africa,1-0,0.88,1.24,0.95,1.4,,0.0,home 0.5 (@1.963),0.9630000000000001
Angola vs Egypt,0-0,0.49,0.92,0.49,1.01,,0.0,away -0.5 (@2.176),1.1760000000000002
Egypt vs Benin,3-1,0.87,0.49,0.99,0.49,,0.0,home -0.5 (@2.234),1.234
Egypt vs Ivory Coast,3-2,0.91,1.58,1.03,1.94,Over 1.5 (@2.114),1.1139999999999999,home 0.5 (@2.295),1.295
Egypt vs Nigeria,0-0,0.96,1.47,1.06,1.48,Over 1.5 (@2.203),-1.0,home 0.5 (@2.111),1.1110000000000002
Egypt vs Nga,1-0,0.87,1.29,0.94,1.37,,0.0,away -0.5 (@2.188),-1.0
Nga vs Iran,2-1,0.52,0.0,0.27,0.0,,0.0,away -0.5 (@1.927),-1.0
Costa Rica vs Iran,0-5,0.96,1.18,0.69,1.1,,0.0,home 0.5 (@1.842),-1.0
New Zealand vs Chilê,4-1,0.47,0.7,0.4,0.82,,0.0,home 0.5 (@1.85),0.8500000000000001
New Zealand vs Phần Lan,0-2,0.67,0.63,0.58,0.78,,0.0,home 0.0 (@2.059),-1.0
Ecuador vs New Zealand,2-0,1.21,0.66,1.04,0.56,,0.0,away 0.5 (@2.154),-1.0
Colombia vs New Zealand,2-1,1.55,0.65,1.44,0.54,,0.0,away 1.0 (@2.0),-1.0
Ba Lan vs New Zealand,1-0,1.14,0.7,1.45,0.59,,0.0,away 0.5 (@2.039),-1.0
New Zealand vs Ukraine,1-2,0.7,0.71,0.59,0.65,,0.0,home 0.0 (@2.111),-1.0
New Zealand vs Ivory Coast,1-0,0.7,1.71,0.59,2.07,Over 1.5 (@2.234),-1.0,home 1.0 (@2.111),1.1110000000000002
Bulgaria vs Spain,0-3,0.39,2.64,0.3,2.05,Over 2.25 (@2.461),1.4609999999999999,away -2.0 (@1.867),0.867
Turkey vs Spain,0-6,1.68,2.73,2.03,2.1,Over 3.5 (@2.234),1.234,away -1.0 (@2.049),1.049
Spain vs Georgia,2-0,2.61,0.83,2.0,0.48,Over 2.5 (@2.188),-1.0,home -2.0 (@2.36),-1.0
Spain vs Bulgaria,4-0,2.59,0.3,2.01,0.18,Over 2.0 (@2.266),1.266,home -2.5 (@2.346),1.346
Georgia vs Spain,0-4,0.74,2.64,0.37,2.03,Over 2.5 (@2.283),1.283,away -2.0 (@2.211),1.2109999999999999
Spain vs Turkey,2-2,2.75,1.62,2.11,1.96,Over 3.5 (@2.299),1.299,away 1.0 (@2.246),1.246
Spain vs Serbia,3-0,2.88,0.76,2.23,0.51,Over 2.75 (@2.266),1.266,home -2.0 (@1.981),0.9810000000000001
Spain vs Egypt,0-0,2.75,0.97,2.16,1.09,Over 2.75 (@2.143),-1.0,home -2.0 (@2.36),-1.0
Spain vs Iraq,1-1,2.88,0.71,2.22,0.67,Over 2.75 (@2.351),-1.0,home -2.0 (@1.935),-1.0
Uruguay vs Cộng hòa Dominican,1-0,0.98,0.0,0.78,0.0,,0.0,away 0 (@1.892),-1.0
Uzbekistan vs Uruguay,1-2,0.49,0.68,0.72,0.63,,0.0,home 0.5 (@1.818),-1.0
Mexico vs Uruguay,0-0,1.47,1.06,1.25,0.81,Over 1.5 (@2.059),-1.0,home -0.5 (@2.199),-1.0
United States vs Uruguay,5-1,1.51,0.96,1.5,0.71,Over 1.5 (@2.143),1.1429999999999998,home -0.5 (@2.049),1.049
England vs Uruguay,1-1,2.22,0.82,1.76,0.55,Over 2.25 (@2.442),-1.0,home -1.5 (@2.211),-1.0
Algeria vs Uruguay,0-0,1.16,0.88,0.98,0.65,,0.0,home 0.0 (@1.842),-1.0
Cape Verde vs Phần Lan,1-1,0.29,0.49,0.43,0.74,,0.0,home 0.5 (@1.826),0.8260000000000001
Cape Verde vs Cameroon,1-0,0.44,0.68,0.58,0.44,,0.0,home 0.5 (@1.858),0.8580000000000001
Cape Verde vs Serbia,3-0,0.44,0.79,0.58,0.54,,0.0,home 0.5 (@1.953),0.9530000000000001
Comoros vs Saudi Arabia,1-3,0.0,1.47,0.0,1.86,Over 2.0 (@2.143),1.1429999999999998,home 0.0 (@2.069),-1.0
Morocco vs Saudi Arabia,1-0,1.56,1.55,1.78,1.8,Over 2.25 (@2.316),-1.0,home 0.0 (@2.09),1.0899999999999999
Palestine vs Saudi Arabia,1-2,0.98,1.58,0.98,1.97,Over 1.5 (@2.019),1.0190000000000001,away -0.5 (@2.0),1.0
Saudi Arabia vs Egypt,0-4,1.77,0.86,2.14,1.03,Over 1.5 (@1.933),0.933,away 1.0 (@2.01),1.0099999999999998
Serbia vs Saudi Arabia,2-1,0.23,1.64,0.26,1.93,,0.0,away -1.5 (@2.199),1.1989999999999998
Ecuador vs Saudi Arabia,2-1,1.35,1.67,1.31,1.98,Over 2.25 (@2.48),1.48,home 0.5 (@1.927),0.927
Ukraine vs France,0-2,0.27,2.25,0.14,1.91,Over 1.5 (@2.072),1.072,away -2.0 (@2.121),1.121
France vs Iceland,2-1,2.18,0.73,1.89,0.86,Over 2.0 (@2.234),1.234,home -1.5 (@2.154),-1.0
France vs Azerbaijan,3-0,2.25,0.15,1.92,0.18,Over 1.5 (@2.25),1.25,home -2.0 (@2.0),1.0
Iceland vs France,2-2,0.66,2.3,0.77,1.97,Over 2.0 (@2.158),1.158,away -1.5 (@1.963),0.9630000000000001
France vs Ukraine,4-0,2.09,0.7,1.77,0.64,Over 2.0 (@2.442),1.4420000000000002,home -1.5 (@2.222),1.222
Azerbaijan vs France,1-3,0.04,2.21,0.05,1.89,,0.0,away -2.0 (@1.935),0.935
Brazil vs France,1-2,2.27,2.37,1.95,1.99,Over 3.5 (@1.921),-1.0,away 0 (@2.0),1.0
