match,score,home_xg_raw,away_xg_raw,home_xg_sos,away_xg_sos,totals_pick,totals_pnl,spreads_pick,spreads_pnl
Belgium vs Tunisia,5-0,2.4,0.93,1.63,0.79,Over 2.5 (@2.368),1.3679999999999999,home -1.5 (@2.132),1.1320000000000001
Haiti vs Peru,1-2,0.94,0.83,1.11,1.25,,0.0,home 0.0 (@1.991),-1.0
Canada vs Ireland,1-1,1.05,1.32,0.93,0.97,Over 1.5 (@2.299),1.299,home 0.5 (@1.883),0.883
Puerto Rico vs Saudi Arabia,0-3,0.21,1.65,0.32,2.04,,0.0,away -1.5 (@2.165),1.165
Paraguay vs Nicaragua,4-0,0.97,0.29,0.89,0.29,,0.0,home -0.5 (@1.927),0.927
Sweden vs Hy Lạp,2-2,1.15,0.96,1.33,1.41,,0.0,away 0.5 (@1.818),0.8180000000000001
Czech Republic vs Guatemala,3-1,1.44,0.82,1.6,1.17,Over 1.5 (@2.5),1.5,away 0.5 (@2.234),-1.0
Mexico vs Serbia,5-1,1.32,0.68,1.12,0.42,,0.0,home -0.5 (@1.963),0.9630000000000001
South Korea vs El Salvador,1-0,1.51,0.98,1.42,1.23,Over 1.5 (@2.114),-1.0,home -0.5 (@2.069),1.069
Netherlands vs Uzbekistan,2-1,2.01,0.43,1.29,0.62,Over 1.5 (@2.188),1.1880000000000002,away 1.5 (@2.188),1.1880000000000002
Iraq vs Venezuela,0-2,0.73,0.63,0.7,0.92,,0.0,home 0.0 (@2.0),-1.0
Argentina vs Iceland,3-0,1.78,0.6,1.01,0.7,Over 1.5 (@2.283),1.283,home -1.5 (@2.5),1.5
Saudi Arabia vs Senegal,0-0,1.68,1.31,1.99,1.05,Over 2.0 (@2.114),-1.0,away 0.5 (@1.972),0.972
Peru vs Spain,1-3,0.71,2.82,0.82,2.24,Over 2.75 (@2.461),1.4609999999999999,away -2.0 (@1.991),0.9910000000000001
Portugal vs Nigeria,2-1,2.8,1.44,2.72,1.41,Over 3.0 (@1.81),-1.0,home -1.5 (@2.258),-1.0
England vs Costa Rica,3-0,1.82,0.96,1.55,0.68,Over 2.0 (@2.461),1.4609999999999999,home -1.0 (@2.258),1.258
United States vs Paraguay,4-1,1.44,0.89,1.43,0.82,Over 1.5 (@2.368),1.3679999999999999,away 0.5 (@2.154),-1.0
Qatar vs Switzerland,1-1,0.78,1.52,1.0,1.82,Over 1.5 (@2.423),1.423,home 1.0 (@1.858),0.8580000000000001
Brazil vs Morocco,1-1,2.36,1.48,2.04,1.66,Over 3.0 (@2.351),-1.0,away 1.0 (@1.981),0.9810000000000001
Haiti vs Scotland,0-1,0.9,1.75,1.04,1.01,Over 1.5 (@1.909),-1.0,home 1.0 (@1.953),-1.0
Australia vs Turkey,2-0,0.79,1.6,0.67,1.96,Over 1.5 (@2.266),1.266,home 1.0 (@1.918),0.9179999999999999
Canada vs Bosnia-Herzegovina,1-1,1.06,1.29,0.99,1.81,Over 1.5 (@2.333),1.3330000000000002,home 0.5 (@1.85),0.8500000000000001
South Korea vs Czech Republic,2-1,1.38,1.32,1.26,1.47,Over 1.5 (@1.853),0.853,home 0.0 (@2.039),1.0390000000000001
Mexico vs South Africa,2-0,1.39,1.34,1.21,1.44,Over 1.5 (@1.821),0.821,home 0.0 (@2.049),1.049
Germany vs Curacao,7-1,2.58,1.17,1.5,1.24,Over 2.75 (@2.1),1.1,home -1.5 (@2.199),1.1989999999999998
Sweden vs Tunisia,5-1,1.17,0.93,1.28,0.8,,0.0,away 0.5 (@1.858),-1.0
Netherlands vs Japan,2-2,2.33,1.35,1.42,1.18,Over 2.75 (@2.203),1.2029999999999998,away 1.0 (@2.079),1.0790000000000002
Ivory Coast vs Ecuador,1-0,1.54,1.4,1.9,1.27,Over 2.0 (@2.188),-1.0,home 0.0 (@1.963),0.9630000000000001
